ResourceSpeciesID,ConsumerSpeciesID,Type
1,7,Feeding
1,8,Feeding
1,11,Feeding
1,12,Feeding
1,13,Feeding
1,22,Feeding
1,23,Feeding
2,7,Feeding
2,8,Feeding
2,9,Feeding
2,11,Feeding
2,12,Feeding
2,13,Feeding
2,22,Feeding
2,23,Feeding
3,14,Feeding
3,15,Feeding
3,16,Feeding
3,17,Feeding
3,18,Feeding
4,17,Feeding
5,6,Feeding
6,7,Feeding
7,8,Feeding
7,9,Feeding
7,11,Feeding
7,12,Feeding
7,13,Feeding
8,9,Feeding
8,10,Feeding
8,20,Feeding
8,21,Feeding
8,22,Feeding
8,23,Feeding
8,24,Feeding
9,10,Feeding
11,19,Feeding
12,19,Feeding
12,26,Feeding
14,25,Feeding
14,26,Feeding
14,27,Feeding
14,28,Feeding
14,29,Feeding
15,19,Feeding
15,25,Feeding
15,26,Feeding
15,27,Feeding
15,28,Feeding
15,29,Feeding
16,19,Feeding
16,27,Feeding
18,19,Feeding
18,25,Feeding
18,26,Feeding
18,27,Feeding
18,29,Feeding
18,32,Feeding
19,33,Feeding
21,33,Feeding
22,27,Feeding
22,28,Feeding
22,30,Feeding
22,31,Feeding
22,32,Feeding
22,33,Feeding
23,30,Feeding
23,32,Feeding
23,33,Feeding
27,30,Feeding
31,32,Feeding
19,1000,ES
23,1000,ES
25,1000,ES
28,1000,ES
30,1000,ES
31,1000,ES
32,1000,ES
33,1000,ES
19,1300,ES
25,1300,ES
27,1300,ES
28,1300,ES
29,1300,ES
30,1300,ES
31,1300,ES
32,1300,ES
33,1300,ES
4,700,ES
4,800,ES
13,700,ES
13,900,ES
13,800,ES
14,700,ES
4,900,ES
11,900,ES
12,900,ES
14,900,ES
15,900,ES
16,900,ES
1,800,ES
4,600,ES
13,600,ES
2,800,ES
3,800,ES
5,800,ES
6,800,ES
7,800,ES
8,800,ES
9,800,ES
10,800,ES
12,800,ES
13,800,ES
16,800,ES
14,800,ES
15,800,ES
17,800,ES
19,800,ES
21,800,ES
22,800,ES
23,800,ES
24,800,ES
25,800,ES
26,800,ES
27,800,ES
28,800,ES
29,800,ES
30,800,ES
31,800,ES
32,800,ES
33,800,ES
