ResourceSpeciesID,ConsumerSpeciesID,Type
1,7,Feeding
1,2,Feeding
1,3,Feeding
1,479,Feeding
1,83,Feeding
1,65,Feeding
1,288,Feeding
1,110,Feeding
2,480,Feeding
2,7,Feeding
2,14,Feeding
2,4,Feeding
2,52,Feeding
2,479,Feeding
2,288,Feeding
2,156,Feeding
2,8,Feeding
22,480,Feeding
22,6,Feeding
22,3,Feeding
22,481,Feeding
22,29,Feeding
22,58,Feeding
22,112,Feeding
22,152,Feeding
22,45,Feeding
22,11,Feeding
22,289,Feeding
22,113,Feeding
22,8,Feeding
22,7,Feeding
22,14,Feeding
22,20,Feeding
22,156,Feeding
22,349,Feeding
22,52,Feeding
22,9,Feeding
22,83,Feeding
22,65,Feeding
22,288,Feeding
22,482,Feeding
290,480,Feeding
290,6,Feeding
290,3,Feeding
290,481,Feeding
290,29,Feeding
290,58,Feeding
290,112,Feeding
290,152,Feeding
290,45,Feeding
290,11,Feeding
290,289,Feeding
290,113,Feeding
290,8,Feeding
290,7,Feeding
290,14,Feeding
290,20,Feeding
290,156,Feeding
290,349,Feeding
290,52,Feeding
290,9,Feeding
290,83,Feeding
290,65,Feeding
290,288,Feeding
290,482,Feeding
213,480,Feeding
213,6,Feeding
213,3,Feeding
213,481,Feeding
213,29,Feeding
213,58,Feeding
213,112,Feeding
213,152,Feeding
213,45,Feeding
213,11,Feeding
213,289,Feeding
213,113,Feeding
213,8,Feeding
213,7,Feeding
213,14,Feeding
213,20,Feeding
213,156,Feeding
213,349,Feeding
213,52,Feeding
213,9,Feeding
213,83,Feeding
213,65,Feeding
213,288,Feeding
213,482,Feeding
172,480,Feeding
172,6,Feeding
172,3,Feeding
172,481,Feeding
172,29,Feeding
172,58,Feeding
172,112,Feeding
172,152,Feeding
172,45,Feeding
172,11,Feeding
172,289,Feeding
172,113,Feeding
172,8,Feeding
172,7,Feeding
172,14,Feeding
172,20,Feeding
172,156,Feeding
172,349,Feeding
172,52,Feeding
172,9,Feeding
172,83,Feeding
172,65,Feeding
172,288,Feeding
172,482,Feeding
196,480,Feeding
196,6,Feeding
196,3,Feeding
196,481,Feeding
196,29,Feeding
196,58,Feeding
196,112,Feeding
196,152,Feeding
196,45,Feeding
196,11,Feeding
196,289,Feeding
196,113,Feeding
196,8,Feeding
196,7,Feeding
196,14,Feeding
196,20,Feeding
196,156,Feeding
196,349,Feeding
196,52,Feeding
196,9,Feeding
196,83,Feeding
196,65,Feeding
196,288,Feeding
196,482,Feeding
6,482,Feeding
6,288,Feeding
3,156,Feeding
3,14,Feeding
3,52,Feeding
3,482,Feeding
4,7,Feeding
4,52,Feeding
4,6,Feeding
481,52,Feeding
29,52,Feeding
29,349,Feeding
58,52,Feeding
58,349,Feeding
112,52,Feeding
112,349,Feeding
152,52,Feeding
152,349,Feeding
45,52,Feeding
45,349,Feeding
289,52,Feeding
289,349,Feeding
113,52,Feeding
113,349,Feeding
110,7,Feeding
110,14,Feeding
110,20,Feeding
110,3,Feeding
110,349,Feeding
110,52,Feeding
110,156,Feeding
8,14,Feeding
8,20,Feeding
8,349,Feeding
8,52,Feeding
8,156,Feeding
7,14,Feeding
7,20,Feeding
7,349,Feeding
7,52,Feeding
7,156,Feeding
14,20,Feeding
14,349,Feeding
14,52,Feeding
14,156,Feeding
20,7,Feeding
20,14,Feeding
20,3,Feeding
20,349,Feeding
20,52,Feeding
20,156,Feeding
156,52,Feeding
156,349,Feeding
349,52,Feeding
9,52,Feeding
9,156,Feeding
479,52,Feeding
83,7,Feeding
83,14,Feeding
83,3,Feeding
83,52,Feeding
83,65,Feeding
83,156,Feeding
65,52,Feeding
65,156,Feeding
288,482,Feeding
288,156,Feeding
482,156,Feeding
7,3,Feeding
14,3,Feeding
1,248,Feeding
248,52,Feeding
248,14,Feeding
248,6,Feeding
248,3,Feeding
10,52,Feeding
10,3,Feeding
213,10,Feeding
197,7,Feeding
197,14,Feeding
197,6,Feeding
197,3,Feeding
197,52,Feeding
197,9,Feeding
197,10,Feeding
197,83,Feeding
197,58,Feeding
197,20,Feeding
197,11,Feeding
350,7,Feeding
350,14,Feeding
350,6,Feeding
350,3,Feeding
350,52,Feeding
350,9,Feeding
350,10,Feeding
350,83,Feeding
350,58,Feeding
350,20,Feeding
350,11,Feeding
2,3,Feeding
2,20,Feeding
196,10,Feeding
1,483,Feeding
1,173,Feeding
1,283,Feeding
2,37,Feeding
2,483,Feeding
2,173,Feeding
2,283,Feeding
5,7,Feeding
5,14,Feeding
5,6,Feeding
5,3,Feeding
5,37,Feeding
5,52,Feeding
5,9,Feeding
