ResourceSpeciesID,ConsumerSpeciesID,Type
1,7,Feeding
1,2,Feeding
1,3,Feeding
1,248,Feeding
1,83,Feeding
1,65,Feeding
1,288,Feeding
1,140,Feeding
1,173,Feeding
1,72,Feeding
2,7,Feeding
2,14,Feeding
2,25,Feeding
2,3,Feeding
2,254,Feeding
2,248,Feeding
2,9,Feeding
2,288,Feeding
2,41,Feeding
2,140,Feeding
2,8,Feeding
2,156,Feeding
2,72,Feeding
2,516,Feeding
2,62,Feeding
5,7,Feeding
5,14,Feeding
5,25,Feeding
5,6,Feeding
5,3,Feeding
5,254,Feeding
5,9,Feeding
5,10,Feeding
5,19,Feeding
5,65,Feeding
5,147,Feeding
5,16,Feeding
5,41,Feeding
5,293,Feeding
5,112,Feeding
5,288,Feeding
5,289,Feeding
5,156,Feeding
5,83,Feeding
5,8,Feeding
5,62,Feeding
291,7,Feeding
291,14,Feeding
291,25,Feeding
291,6,Feeding
291,3,Feeding
291,254,Feeding
291,9,Feeding
291,10,Feeding
291,19,Feeding
291,65,Feeding
291,147,Feeding
291,16,Feeding
291,41,Feeding
291,293,Feeding
291,112,Feeding
291,288,Feeding
291,289,Feeding
291,156,Feeding
291,83,Feeding
291,8,Feeding
291,62,Feeding
22,7,Feeding
22,14,Feeding
22,25,Feeding
22,6,Feeding
22,3,Feeding
22,254,Feeding
22,9,Feeding
22,10,Feeding
22,19,Feeding
22,65,Feeding
22,147,Feeding
22,16,Feeding
22,41,Feeding
22,293,Feeding
22,112,Feeding
22,288,Feeding
22,289,Feeding
22,156,Feeding
22,83,Feeding
22,8,Feeding
22,62,Feeding
517,7,Feeding
517,14,Feeding
517,25,Feeding
517,6,Feeding
517,3,Feeding
517,254,Feeding
517,9,Feeding
517,10,Feeding
517,19,Feeding
517,65,Feeding
517,147,Feeding
517,16,Feeding
517,41,Feeding
517,293,Feeding
517,112,Feeding
517,288,Feeding
517,289,Feeding
517,156,Feeding
517,83,Feeding
517,8,Feeding
517,62,Feeding
518,7,Feeding
518,14,Feeding
518,25,Feeding
518,6,Feeding
518,3,Feeding
518,254,Feeding
518,9,Feeding
518,10,Feeding
518,19,Feeding
518,65,Feeding
518,147,Feeding
518,16,Feeding
518,41,Feeding
518,293,Feeding
518,112,Feeding
518,288,Feeding
518,289,Feeding
518,156,Feeding
518,83,Feeding
518,8,Feeding
518,62,Feeding
519,7,Feeding
519,14,Feeding
519,25,Feeding
519,6,Feeding
519,3,Feeding
519,254,Feeding
519,9,Feeding
519,10,Feeding
519,19,Feeding
519,65,Feeding
519,147,Feeding
519,16,Feeding
519,41,Feeding
519,293,Feeding
519,112,Feeding
519,288,Feeding
519,289,Feeding
519,156,Feeding
519,83,Feeding
519,8,Feeding
519,62,Feeding
365,7,Feeding
365,14,Feeding
365,25,Feeding
365,6,Feeding
365,3,Feeding
365,254,Feeding
365,9,Feeding
365,10,Feeding
365,19,Feeding
365,65,Feeding
365,147,Feeding
365,16,Feeding
365,41,Feeding
365,293,Feeding
365,112,Feeding
365,288,Feeding
365,289,Feeding
365,156,Feeding
365,83,Feeding
365,8,Feeding
365,62,Feeding
172,7,Feeding
172,14,Feeding
172,25,Feeding
172,6,Feeding
172,3,Feeding
172,254,Feeding
172,9,Feeding
172,10,Feeding
172,19,Feeding
172,65,Feeding
172,147,Feeding
172,16,Feeding
172,41,Feeding
172,293,Feeding
172,112,Feeding
172,288,Feeding
172,289,Feeding
172,156,Feeding
172,83,Feeding
172,8,Feeding
172,62,Feeding
208,7,Feeding
208,14,Feeding
208,25,Feeding
208,6,Feeding
208,3,Feeding
208,254,Feeding
208,9,Feeding
208,10,Feeding
208,19,Feeding
208,65,Feeding
208,147,Feeding
208,16,Feeding
208,41,Feeding
208,293,Feeding
208,112,Feeding
208,288,Feeding
208,289,Feeding
208,156,Feeding
208,83,Feeding
208,8,Feeding
208,62,Feeding
198,7,Feeding
198,14,Feeding
198,25,Feeding
198,6,Feeding
198,3,Feeding
198,254,Feeding
198,9,Feeding
198,10,Feeding
198,19,Feeding
198,65,Feeding
198,147,Feeding
198,16,Feeding
198,41,Feeding
198,293,Feeding
198,112,Feeding
198,288,Feeding
198,289,Feeding
198,156,Feeding
198,83,Feeding
198,8,Feeding
198,62,Feeding
171,7,Feeding
171,14,Feeding
171,25,Feeding
171,6,Feeding
171,3,Feeding
171,254,Feeding
171,9,Feeding
171,10,Feeding
171,19,Feeding
171,65,Feeding
171,147,Feeding
171,16,Feeding
171,41,Feeding
171,293,Feeding
171,112,Feeding
171,288,Feeding
171,289,Feeding
171,156,Feeding
171,83,Feeding
