ResourceSpeciesID,ConsumerSpeciesID,Type
2,1300,ES
4,1300,ES
6,1300,ES
8,1300,ES
112,800,ES
146,800,ES
147,800,ES
148,800,ES
149,800,ES
150,800,ES
151,800,ES
152,800,ES
153,800,ES
154,800,ES
155,800,ES
12,800,ES
13,800,ES
14,800,ES
15,800,ES
16,800,ES
17,800,ES
18,800,ES
19,800,ES
20,800,ES
21,800,ES
22,800,ES
23,800,ES
24,800,ES
42,800,ES
43,800,ES
44,800,ES
45,800,ES
46,800,ES
47,800,ES
48,800,ES
49,800,ES
50,800,ES
51,800,ES
52,800,ES
53,800,ES
54,800,ES
55,800,ES
56,800,ES
57,800,ES
58,800,ES
59,800,ES
25,800,ES
26,800,ES
27,800,ES
28,800,ES
29,800,ES
30,800,ES
31,800,ES
32,800,ES
33,800,ES
34,800,ES
35,800,ES
36,800,ES
37,800,ES
38,800,ES
39,800,ES
40,800,ES
41,800,ES
122,800,ES
123,800,ES
124,800,ES
125,800,ES
126,800,ES
127,800,ES
128,800,ES
129,800,ES
130,800,ES
131,800,ES
132,800,ES
133,800,ES
134,800,ES
135,800,ES
136,800,ES
137,800,ES
138,800,ES
139,800,ES
140,800,ES
141,800,ES
142,800,ES
143,800,ES
144,800,ES
145,800,ES
157,800,ES
158,800,ES
159,800,ES
160,800,ES
161,800,ES
162,800,ES
163,800,ES
164,800,ES
165,800,ES
166,800,ES
167,800,ES
168,800,ES
169,800,ES
170,800,ES
173,800,ES
174,800,ES
175,800,ES
176,800,ES
177,800,ES
178,800,ES
179,800,ES
180,800,ES
65,66,Feeding
65,67,Feeding
65,68,Feeding
65,69,Feeding
65,70,Feeding
65,71,Feeding
65,72,Feeding
66,67,Feeding
66,73,Feeding
74,66,Feeding
74,67,Feeding
74,68,Feeding
74,69,Feeding
74,70,Feeding
74,71,Feeding
74,72,Feeding
74,73,Feeding
67,73,Feeding
75,66,Feeding
75,67,Feeding
75,68,Feeding
75,69,Feeding
75,70,Feeding
75,71,Feeding
75,72,Feeding
75,73,Feeding
68,67,Feeding
68,73,Feeding
76,66,Feeding
76,67,Feeding
76,68,Feeding
76,69,Feeding
76,70,Feeding
76,71,Feeding
76,72,Feeding
76,73,Feeding
69,67,Feeding
69,73,Feeding
70,66,Feeding
70,67,Feeding
70,68,Feeding
70,69,Feeding
70,73,Feeding
77,66,Feeding
77,67,Feeding
77,68,Feeding
77,69,Feeding
77,70,Feeding
2,66,Feeding
2,68,Feeding
2,69,Feeding
2,70,Feeding
2,77,Feeding
78,65,Feeding
78,74,Feeding
78,75,Feeding
78,68,Feeding
78,76,Feeding
78,69,Feeding
78,77,Feeding
78,71,Feeding
78,72,Feeding
78,79,Feeding
78,80,Feeding
78,81,Feeding
78,82,Feeding
78,83,Feeding
78,84,Feeding
78,85,Feeding
71,65,Feeding
71,74,Feeding
71,75,Feeding
71,76,Feeding
71,69,Feeding
71,77,Feeding
71,72,Feeding
71,80,Feeding
71,81,Feeding
71,82,Feeding
71,84,Feeding
71,85,Feeding
72,65,Feeding
72,66,Feeding
72,74,Feeding
72,75,Feeding
72,76,Feeding
72,69,Feeding
72,77,Feeding
72,71,Feeding
72,80,Feeding
72,81,Feeding
72,82,Feeding
72,84,Feeding
72,85,Feeding
79,65,Feeding
79,66,Feeding
79,74,Feeding
79,75,Feeding
79,76,Feeding
79,69,Feeding
79,77,Feeding
79,71,Feeding
79,72,Feeding
79,80,Feeding
79,81,Feeding
79,82,Feeding
79,84,Feeding
79,85,Feeding
80,65,Feeding
80,66,Feeding
80,74,Feeding
80,75,Feeding
80,68,Feeding
80,76,Feeding
80,69,Feeding
80,70,Feeding
80,77,Feeding
80,81,Feeding
80,82,Feeding
80,85,Feeding
86,65,Feeding
86,66,Feeding
86,74,Feeding
86,75,Feeding
86,76,Feeding
86,69,Feeding
86,77,Feeding
86,71,Feeding
86,72,Feeding
86,79,Feeding
86,80,Feeding
86,81,Feeding
86,82,Feeding
86,83,Feeding
86,84,Feeding
86,87,Feeding
86,88,Feeding
89,65,Feeding
89,74,Feeding
89,75,Feeding
89,76,Feeding
89,69,Feeding
89,77,Feeding
89,71,Feeding
89,72,Feeding
89,79,Feeding
89,80,Feeding
89,81,Feeding
89,82,Feeding
89,83,Feeding
89,84,Feeding
89,87,Feeding
89,88,Feeding
90,65,Feeding
90,66,Feeding
90,74,Feeding
90,75,Feeding
90,68,Feeding
90,76,Feeding
90,69,Feeding
90,70,Feeding
90,77,Feeding
90,71,Feeding
90,72,Feeding
90,79,Feeding
90,80,Feeding
90,81,Feeding
90,82,Feeding
90,84,Feeding
90,87,Feeding
90,88,Feeding
90,85,Feeding
91,65,Feeding
91,66,Feeding
91,74,Feeding
91,75,Feeding
91,68,Feeding
91,76,Feeding
91,69,Feeding
91,70,Feeding
91,77,Feeding
91,71,Feeding
91,72,Feeding
91,79,Feeding
91,80,Feeding
91,81,Feeding
91,82,Feeding
91,84,Feeding
91,87,Feeding
91,88,Feeding
91,85,Feeding
92,65,Feeding
92,66,Feeding
92,74,Feeding
92,75,Feeding
92,68,Feeding
92,76,Feeding
92,69,Feeding
92,70,Feeding
92,77,Feeding
92,71,Feeding
92,72,Feeding
92,79,Feeding
92,80,Feeding
92,81,Feeding
92,82,Feeding
92,84,Feeding
92,87,Feeding
92,88,Feeding
92,85,Feeding
93,65,Feeding
93,66,Feeding
93,74,Feeding
93,75,Feeding
93,68,Feeding
93,76,Feeding
93,69,Feeding
93,70,Feeding
93,77,Feeding
93,79,Feeding
93,87,Feeding
93,88,Feeding
81,65,Feeding
81,66,Feeding
81,74,Feeding
81,75,Feeding
81,76,Feeding
81,69,Feeding
81,70,Feeding
81,77,Feeding
81,80,Feeding
81,87,Feeding
81,88,Feeding
82,65,Feeding
82,74,Feeding
82,75,Feeding
82,68,Feeding
82,76,Feeding
82,69,Feeding
82,70,Feeding
82,77,Feeding
82,80,Feeding
82,87,Feeding
82,88,Feeding
94,65,Feeding
94,74,Feeding
94,75,Feeding
94,76,Feeding
94,69,Feeding
94,70,Feeding
94,77,Feeding
95,65,Feeding
95,74,Feeding
95,75,Feeding
95,76,Feeding
95,69,Feeding
95,70,Feeding
95,77,Feeding
96,65,Feeding
96,74,Feeding
96,75,Feeding
96,76,Feeding
96,69,Feeding
96,70,Feeding
96,77,Feeding
97,65,Feeding
97,74,Feeding
97,75,Feeding
97,76,Feeding
97,69,Feeding
97,70,Feeding
97,77,Feeding
98,65,Feeding
98,74,Feeding
98,75,Feeding
98,76,Feeding
98,69,Feeding
98,70,Feeding
98,77,Feeding
98,83,Feeding
99,65,Feeding
99,74,Feeding
99,75,Feeding
99,76,Feeding
99,69,Feeding
99,70,Feeding
99,77,Feeding
99,83,Feeding
100,65,Feeding
100,74,Feeding
100,75,Feeding
100,76,Feeding
100,69,Feeding
100,70,Feeding
100,77,Feeding
100,83,Feeding
101,65,Feeding
101,74,Feeding
101,75,Feeding
101,76,Feeding
101,69,Feeding
101,70,Feeding
101,77,Feeding
101,83,Feeding
102,65,Feeding
102,74,Feeding
102,75,Feeding
102,76,Feeding
102,69,Feeding
102,70,Feeding
102,77,Feeding
102,71,Feeding
102,72,Feeding
102,79,Feeding
102,80,Feeding
102,81,Feeding
102,82,Feeding
102,84,Feeding
103,65,Feeding
103,74,Feeding
103,75,Feeding
103,76,Feeding
103,69,Feeding
103,70,Feeding
103,77,Feeding
103,71,Feeding
103,72,Feeding
103,79,Feeding
103,80,Feeding
103,81,Feeding
103,82,Feeding
103,84,Feeding
104,65,Feeding
104,74,Feeding
104,75,Feeding
104,76,Feeding
104,69,Feeding
104,70,Feeding
104,77,Feeding
104,71,Feeding
104,72,Feeding
104,79,Feeding
104,80,Feeding
104,81,Feeding
104,82,Feeding
104,83,Feeding
104,84,Feeding
83,65,Feeding
83,74,Feeding
83,75,Feeding
83,76,Feeding
83,69,Feeding
83,70,Feeding
83,77,Feeding
83,71,Feeding
83,72,Feeding
83,79,Feeding
83,80,Feeding
83,81,Feeding
83,82,Feeding
83,84,Feeding
105,65,Feeding
105,74,Feeding
105,75,Feeding
105,76,Feeding
105,69,Feeding
105,70,Feeding
105,77,Feeding
105,71,Feeding
105,72,Feeding
105,79,Feeding
105,80,Feeding
105,81,Feeding
105,82,Feeding
105,83,Feeding
105,84,Feeding
106,65,Feeding
106,74,Feeding
106,75,Feeding
106,76,Feeding
106,69,Feeding
106,70,Feeding
106,77,Feeding
106,71,Feeding
106,72,Feeding
106,79,Feeding
106,80,Feeding
106,81,Feeding
106,82,Feeding
106,83,Feeding
106,84,Feeding
107,65,Feeding
107,74,Feeding
107,75,Feeding
107,76,Feeding
107,69,Feeding
107,70,Feeding
107,77,Feeding
107,71,Feeding
107,72,Feeding
107,79,Feeding
107,80,Feeding
107,81,Feeding
107,82,Feeding
107,83,Feeding
107,84,Feeding
108,65,Feeding
108,74,Feeding
108,75,Feeding
108,76,Feeding
108,69,Feeding
108,70,Feeding
108,77,Feeding
108,71,Feeding
108,72,Feeding
108,79,Feeding
108,80,Feeding
108,81,Feeding
108,82,Feeding
108,84,Feeding
84,65,Feeding
84,74,Feeding
84,75,Feeding
84,76,Feeding
84,69,Feeding
84,70,Feeding
84,77,Feeding
84,71,Feeding
84,72,Feeding
84,79,Feeding
84,80,Feeding
84,81,Feeding
84,82,Feeding
109,65,Feeding
109,76,Feeding
109,69,Feeding
109,70,Feeding
109,77,Feeding
109,71,Feeding
109,72,Feeding
109,79,Feeding
109,80,Feeding
109,81,Feeding
109,82,Feeding
109,84,Feeding
109,110,Feeding
109,111,Feeding
109,112,Feeding
109,113,Feeding
109,114,Feeding
109,115,Feeding
109,116,Feeding
109,117,Feeding
109,118,Feeding
109,119,Feeding
109,120,Feeding
109,121,Feeding
109,122,Feeding
109,123,Feeding
109,124,Feeding
109,125,Feeding
109,126,Feeding
109,127,Feeding
109,128,Feeding
109,129,Feeding
109,130,Feeding
109,131,Feeding
132,65,Feeding
132,76,Feeding
132,69,Feeding
132,70,Feeding
132,77,Feeding
132,71,Feeding
132,72,Feeding
132,79,Feeding
132,80,Feeding
132,81,Feeding
132,82,Feeding
132,84,Feeding
132,110,Feeding
132,111,Feeding
132,112,Feeding
132,113,Feeding
132,114,Feeding
132,115,Feeding
132,116,Feeding
132,117,Feeding
132,118,Feeding
132,119,Feeding
132,120,Feeding
132,121,Feeding
132,122,Feeding
132,123,Feeding
132,124,Feeding
132,125,Feeding
132,126,Feeding
132,127,Feeding
132,128,Feeding
132,129,Feeding
132,130,Feeding
132,131,Feeding
133,65,Feeding
133,76,Feeding
133,70,Feeding
133,77,Feeding
133,71,Feeding
133,72,Feeding
133,79,Feeding
133,80,Feeding
133,81,Feeding
133,82,Feeding
133,84,Feeding
133,110,Feeding
133,111,Feeding
133,112,Feeding
133,113,Feeding
133,114,Feeding
133,115,Feeding
133,116,Feeding
133,117,Feeding
133,118,Feeding
133,119,Feeding
133,120,Feeding
133,121,Feeding
133,122,Feeding
133,123,Feeding
133,124,Feeding
133,125,Feeding
133,126,Feeding
133,127,Feeding
133,128,Feeding
133,129,Feeding
133,130,Feeding
133,131,Feeding
134,65,Feeding
134,76,Feeding
134,70,Feeding
134,77,Feeding
134,71,Feeding
134,72,Feeding
134,79,Feeding
134,80,Feeding
134,81,Feeding
134,82,Feeding
134,84,Feeding
134,110,Feeding
134,111,Feeding
134,112,Feeding
134,113,Feeding
134,114,Feeding
134,115,Feeding
134,116,Feeding
134,117,Feeding
134,118,Feeding
134,119,Feeding
134,120,Feeding
134,121,Feeding
134,122,Feeding
134,123,Feeding
134,124,Feeding
134,125,Feeding
134,126,Feeding
134,127,Feeding
