ResourceSpeciesID,ConsumerSpeciesID,Type
1,139,Feeding
1,7,Feeding
1,2,Feeding
2,249,Feeding
2,17,Feeding
2,47,Feeding
2,7,Feeding
2,100,Feeding
2,4,Feeding
2,3,Feeding
2,9,Feeding
199,100,Feeding
199,17,Feeding
199,47,Feeding
199,294,Feeding
199,10,Feeding
199,7,Feeding
199,37,Feeding
199,9,Feeding
200,100,Feeding
200,17,Feeding
200,47,Feeding
200,294,Feeding
200,10,Feeding
200,7,Feeding
200,37,Feeding
200,9,Feeding
250,100,Feeding
250,17,Feeding
250,47,Feeding
250,294,Feeding
250,10,Feeding
250,7,Feeding
250,37,Feeding
250,9,Feeding
73,100,Feeding
73,17,Feeding
73,47,Feeding
73,294,Feeding
73,10,Feeding
73,7,Feeding
73,37,Feeding
73,9,Feeding
76,100,Feeding
76,17,Feeding
76,47,Feeding
76,294,Feeding
76,10,Feeding
76,7,Feeding
76,37,Feeding
76,9,Feeding
55,100,Feeding
55,17,Feeding
55,47,Feeding
55,294,Feeding
55,10,Feeding
55,7,Feeding
55,37,Feeding
55,9,Feeding
352,100,Feeding
352,17,Feeding
352,47,Feeding
352,294,Feeding
352,10,Feeding
352,7,Feeding
352,37,Feeding
352,9,Feeding
3,249,Feeding
3,100,Feeding
3,17,Feeding
3,47,Feeding
3,53,Feeding
3,7,Feeding
4,100,Feeding
4,17,Feeding
4,47,Feeding
4,53,Feeding
249,53,Feeding
53,17,Feeding
53,47,Feeding
10,17,Feeding
7,100,Feeding
7,17,Feeding
7,47,Feeding
9,100,Feeding
9,17,Feeding
9,47,Feeding
17,47,Feeding
2,42,Feeding
2,25,Feeding
2,192,Feeding
2,13,Feeding
66,100,Feeding
66,17,Feeding
66,47,Feeding
66,10,Feeding
66,42,Feeding
66,25,Feeding
66,7,Feeding
66,71,Feeding
66,30,Feeding
66,13,Feeding
66,9,Feeding
17,30,Feeding
17,192,Feeding
47,30,Feeding
200,42,Feeding
200,25,Feeding
200,71,Feeding
200,30,Feeding
200,13,Feeding
10,192,Feeding
10,47,Feeding
199,42,Feeding
199,25,Feeding
199,71,Feeding
199,30,Feeding
199,13,Feeding
73,42,Feeding
73,25,Feeding
73,71,Feeding
73,30,Feeding
73,13,Feeding
13,100,Feeding
13,192,Feeding
13,17,Feeding
42,30,Feeding
42,100,Feeding
42,192,Feeding
42,17,Feeding
42,47,Feeding
25,100,Feeding
25,17,Feeding
25,47,Feeding
25,30,Feeding
25,192,Feeding
7,192,Feeding
76,42,Feeding
76,25,Feeding
76,71,Feeding
76,30,Feeding
76,13,Feeding
100,30,Feeding
71,7,Feeding
71,192,Feeding
71,17,Feeding
192,17,Feeding
192,47,Feeding
6,100,Feeding
6,192,Feeding
6,47,Feeding
6,17,Feeding
3,25,Feeding
3,30,Feeding
3,192,Feeding
9,192,Feeding
1,13,Feeding
1,140,Feeding
2,140,Feeding
2,8,Feeding
2,247,Feeding
2,153,Feeding
199,324,Feeding
199,19,Feeding
199,8,Feeding
250,324,Feeding
250,19,Feeding
250,8,Feeding
250,71,Feeding
250,13,Feeding
73,324,Feeding
73,19,Feeding
73,8,Feeding
76,324,Feeding
76,19,Feeding
76,8,Feeding
55,324,Feeding
55,19,Feeding
55,8,Feeding
55,71,Feeding
55,13,Feeding
352,324,Feeding
352,19,Feeding
352,8,Feeding
352,71,Feeding
352,13,Feeding
3,247,Feeding
3,37,Feeding
4,7,Feeding
4,247,Feeding
4,153,Feeding
4,71,Feeding
324,47,Feeding
19,47,Feeding
8,100,Feeding
8,47,Feeding
8,37,Feeding
7,153,Feeding
247,7,Feeding
247,153,Feeding
247,47,Feeding
153,7,Feeding
153,47,Feeding
71,153,Feeding
71,47,Feeding
37,100,Feeding
13,47,Feeding
140,47,Feeding
140,17,Feeding
47,17,Feeding
250,25,Feeding
250,30,Feeding
295,100,Feeding
295,17,Feeding
295,47,Feeding
295,25,Feeding
295,7,Feeding
295,30,Feeding
25,7,Feeding
7,25,Feeding
7,30,Feeding
174,100,Feeding
174,17,Feeding
174,47,Feeding
174,25,Feeding
174,7,Feeding
174,30,Feeding
353,47,Feeding
353,19,Feeding
353,42,Feeding
353,25,Feeding
353,7,Feeding
353,71,Feeding
2,71,Feeding
47,192,Feeding
167,47,Feeding
167,19,Feeding
167,42,Feeding
167,25,Feeding
167,7,Feeding
167,71,Feeding
200,19,Feeding
250,42,Feeding
295,19,Feeding
295,42,Feeding
295,71,Feeding
25,71,Feeding
7,71,Feeding
354,47,Feeding
354,19,Feeding
354,42,Feeding
354,25,Feeding
354,7,Feeding
354,71,Feeding
139,71,Feeding
3,71,Feeding
2,490,Feeding
2,355,Feeding
2,65,Feeding
2,37,Feeding
2,56,Feeding
199,23,Feeding
199,355,Feeding
199,154,Feeding
199,491,Feeding
199,56,Feeding
199,356,Feeding
199,65,Feeding
200,23,Feeding
200,355,Feeding
200,8,Feeding
200,154,Feeding
200,491,Feeding
200,56,Feeding
200,356,Feeding
200,65,Feeding
357,23,Feeding
