ResourceSpeciesID,ConsumerSpeciesID,Type
1,139,Feeding
1,7,Feeding
1,2,Feeding
1,61,Feeding
1,13,Feeding
2,249,Feeding
2,500,Feeding
2,355,Feeding
2,61,Feeding
2,8,Feeding
2,42,Feeding
2,7,Feeding
2,13,Feeding
2,3,Feeding
2,4,Feeding
66,500,Feeding
66,18,Feeding
66,23,Feeding
66,47,Feeding
66,355,Feeding
66,10,Feeding
66,8,Feeding
66,42,Feeding
66,7,Feeding
66,71,Feeding
66,30,Feeding
66,13,Feeding
44,500,Feeding
44,18,Feeding
44,23,Feeding
44,47,Feeding
44,355,Feeding
44,10,Feeding
44,8,Feeding
44,42,Feeding
44,7,Feeding
44,71,Feeding
44,30,Feeding
44,13,Feeding
501,500,Feeding
501,18,Feeding
501,23,Feeding
501,47,Feeding
501,355,Feeding
501,10,Feeding
501,8,Feeding
501,42,Feeding
501,7,Feeding
501,71,Feeding
501,30,Feeding
501,13,Feeding
73,500,Feeding
73,18,Feeding
73,23,Feeding
73,47,Feeding
73,355,Feeding
73,10,Feeding
73,8,Feeding
73,42,Feeding
73,7,Feeding
73,71,Feeding
73,30,Feeding
73,13,Feeding
117,500,Feeding
117,18,Feeding
117,23,Feeding
117,47,Feeding
117,355,Feeding
117,10,Feeding
117,8,Feeding
117,42,Feeding
117,7,Feeding
117,71,Feeding
117,30,Feeding
117,13,Feeding
76,500,Feeding
76,18,Feeding
76,23,Feeding
76,47,Feeding
76,355,Feeding
76,10,Feeding
76,8,Feeding
76,42,Feeding
76,7,Feeding
76,71,Feeding
76,30,Feeding
76,13,Feeding
174,500,Feeding
174,18,Feeding
174,23,Feeding
174,47,Feeding
174,355,Feeding
174,10,Feeding
174,8,Feeding
174,42,Feeding
174,7,Feeding
174,71,Feeding
174,30,Feeding
174,13,Feeding
209,18,Feeding
139,8,Feeding
6,355,Feeding
6,47,Feeding
3,249,Feeding
3,355,Feeding
3,6,Feeding
4,355,Feeding
4,6,Feeding
18,355,Feeding
18,30,Feeding
18,47,Feeding
8,355,Feeding
42,355,Feeding
7,71,Feeding
71,7,Feeding
13,355,Feeding
47,30,Feeding
355,47,Feeding
1,128,Feeding
2,294,Feeding
2,128,Feeding
2,9,Feeding
66,294,Feeding
66,9,Feeding
294,30,Feeding
294,47,Feeding
73,294,Feeding
73,9,Feeding
8,47,Feeding
42,47,Feeding
76,294,Feeding
76,9,Feeding
174,294,Feeding
174,9,Feeding
162,47,Feeding
162,294,Feeding
162,10,Feeding
162,8,Feeding
162,42,Feeding
162,30,Feeding
162,13,Feeding
162,9,Feeding
11,17,Feeding
66,11,Feeding
66,296,Feeding
66,113,Feeding
66,14,Feeding
66,502,Feeding
66,79,Feeding
66,17,Feeding
10,502,Feeding
13,502,Feeding
13,17,Feeding
7,502,Feeding
14,17,Feeding
14,502,Feeding
2,17,Feeding
2,502,Feeding
2,14,Feeding
2,79,Feeding
502,17,Feeding
296,17,Feeding
6,17,Feeding
3,14,Feeding
3,17,Feeding
9,502,Feeding
45,17,Feeding
10,17,Feeding
8,17,Feeding
42,17,Feeding
7,17,Feeding
76,45,Feeding
76,11,Feeding
76,17,Feeding
174,45,Feeding
174,11,Feeding
174,17,Feeding
3,7,Feeding
247,17,Feeding
247,47,Feeding
247,30,Feeding
2,47,Feeding
2,247,Feeding
17,47,Feeding
44,17,Feeding
44,294,Feeding
358,17,Feeding
358,47,Feeding
358,294,Feeding
358,10,Feeding
358,8,Feeding
358,42,Feeding
358,7,Feeding
358,30,Feeding
294,17,Feeding
73,17,Feeding
8,30,Feeding
353,17,Feeding
353,47,Feeding
353,294,Feeding
353,10,Feeding
353,8,Feeding
353,42,Feeding
353,7,Feeding
353,30,Feeding
503,17,Feeding
503,47,Feeding
503,294,Feeding
503,10,Feeding
503,8,Feeding
503,42,Feeding
503,7,Feeding
503,30,Feeding
47,17,Feeding
3,247,Feeding
3,47,Feeding
3,30,Feeding
4,247,Feeding
4,30,Feeding
4,47,Feeding
17,1300,ES
3,900,ES
45,1300,ES
45,1000,ES
