ResourceSpeciesID,ConsumerSpeciesID,Type
9,210,Feeding
9,305,Feeding
9,39,Feeding
9,33,Feeding
9,3,Feeding
9,52,Feeding
1,2,Feeding
1,7,Feeding
1,100,Feeding
1,210,Feeding
1,27,Feeding
1,15,Feeding
1,211,Feeding
1,61,Feeding
1,147,Feeding
1,13,Feeding
1,148,Feeding
2,9,Feeding
2,28,Feeding
2,100,Feeding
2,210,Feeding
2,305,Feeding
2,17,Feeding
2,47,Feeding
2,33,Feeding
2,262,Feeding
2,62,Feeding
2,111,Feeding
2,149,Feeding
2,6,Feeding
2,3,Feeding
2,4,Feeding
2,147,Feeding
2,27,Feeding
2,15,Feeding
2,211,Feeding
2,61,Feeding
2,39,Feeding
2,37,Feeding
2,13,Feeding
2,148,Feeding
5,9,Feeding
5,64,Feeding
5,131,Feeding
5,28,Feeding
5,23,Feeding
5,100,Feeding
5,305,Feeding
5,17,Feeding
5,47,Feeding
5,33,Feeding
5,262,Feeding
5,62,Feeding
5,111,Feeding
5,18,Feeding
5,40,Feeding
5,101,Feeding
5,112,Feeding
5,11,Feeding
5,16,Feeding
5,10,Feeding
5,19,Feeding
5,70,Feeding
5,8,Feeding
5,20,Feeding
5,25,Feeding
5,7,Feeding
5,14,Feeding
5,39,Feeding
5,37,Feeding
5,79,Feeding
5,56,Feeding
5,52,Feeding
44,9,Feeding
44,64,Feeding
44,131,Feeding
44,28,Feeding
44,23,Feeding
44,100,Feeding
44,305,Feeding
44,17,Feeding
44,47,Feeding
44,33,Feeding
44,262,Feeding
44,62,Feeding
44,111,Feeding
44,18,Feeding
44,40,Feeding
44,101,Feeding
44,112,Feeding
44,11,Feeding
44,16,Feeding
44,10,Feeding
44,19,Feeding
44,70,Feeding
44,8,Feeding
44,20,Feeding
44,25,Feeding
44,7,Feeding
44,14,Feeding
44,39,Feeding
44,37,Feeding
44,79,Feeding
44,56,Feeding
44,52,Feeding
102,9,Feeding
102,64,Feeding
102,131,Feeding
102,28,Feeding
102,23,Feeding
102,100,Feeding
102,305,Feeding
102,17,Feeding
102,47,Feeding
102,33,Feeding
102,262,Feeding
102,62,Feeding
102,111,Feeding
102,18,Feeding
102,40,Feeding
102,101,Feeding
102,112,Feeding
102,11,Feeding
102,16,Feeding
102,10,Feeding
102,19,Feeding
102,70,Feeding
102,8,Feeding
102,20,Feeding
102,25,Feeding
102,7,Feeding
102,14,Feeding
102,39,Feeding
102,37,Feeding
102,79,Feeding
102,56,Feeding
102,52,Feeding
22,9,Feeding
22,64,Feeding
22,131,Feeding
22,28,Feeding
22,23,Feeding
22,100,Feeding
22,305,Feeding
22,17,Feeding
22,47,Feeding
22,33,Feeding
22,262,Feeding
22,62,Feeding
22,111,Feeding
22,18,Feeding
22,40,Feeding
22,101,Feeding
22,112,Feeding
22,11,Feeding
22,16,Feeding
22,10,Feeding
22,19,Feeding
22,70,Feeding
22,8,Feeding
22,20,Feeding
22,25,Feeding
22,7,Feeding
22,14,Feeding
22,39,Feeding
22,37,Feeding
22,79,Feeding
22,56,Feeding
22,52,Feeding
57,9,Feeding
57,64,Feeding
57,131,Feeding
57,28,Feeding
57,23,Feeding
57,100,Feeding
57,305,Feeding
57,17,Feeding
57,47,Feeding
57,33,Feeding
57,262,Feeding
57,62,Feeding
57,111,Feeding
57,18,Feeding
57,40,Feeding
57,101,Feeding
57,112,Feeding
57,11,Feeding
57,16,Feeding
