ResourceSpeciesID,ConsumerSpeciesID,Type
9,41,Feeding
9,151,Feeding
9,3,Feeding
9,17,Feeding
9,39,Feeding
9,33,Feeding
9,52,Feeding
1,194,Feeding
1,7,Feeding
1,151,Feeding
1,71,Feeding
1,27,Feeding
1,2,Feeding
1,61,Feeding
1,13,Feeding
1,148,Feeding
2,9,Feeding
2,7,Feeding
2,39,Feeding
2,149,Feeding
2,132,Feeding
2,151,Feeding
2,28,Feeding
2,71,Feeding
2,6,Feeding
2,3,Feeding
2,4,Feeding
2,17,Feeding
2,27,Feeding
2,15,Feeding
2,33,Feeding
2,61,Feeding
2,72,Feeding
2,8,Feeding
2,13,Feeding
2,148,Feeding
5,9,Feeding
5,64,Feeding
5,131,Feeding
5,28,Feeding
5,23,Feeding
5,17,Feeding
5,33,Feeding
5,18,Feeding
5,40,Feeding
5,101,Feeding
5,45,Feeding
5,11,Feeding
5,16,Feeding
5,10,Feeding
5,19,Feeding
5,286,Feeding
5,70,Feeding
5,8,Feeding
5,20,Feeding
5,25,Feeding
5,7,Feeding
5,14,Feeding
5,81,Feeding
5,71,Feeding
5,39,Feeding
5,79,Feeding
5,56,Feeding
5,52,Feeding
44,9,Feeding
44,64,Feeding
44,131,Feeding
44,28,Feeding
44,23,Feeding
44,17,Feeding
44,33,Feeding
44,18,Feeding
44,40,Feeding
44,101,Feeding
44,45,Feeding
44,11,Feeding
44,16,Feeding
44,10,Feeding
44,19,Feeding
44,286,Feeding
44,70,Feeding
44,8,Feeding
44,20,Feeding
44,25,Feeding
44,7,Feeding
44,14,Feeding
44,81,Feeding
44,71,Feeding
44,39,Feeding
44,79,Feeding
44,56,Feeding
44,52,Feeding
28,17,Feeding
28,33,Feeding
22,9,Feeding
22,64,Feeding
22,131,Feeding
22,28,Feeding
22,23,Feeding
22,17,Feeding
22,33,Feeding
22,18,Feeding
22,40,Feeding
22,101,Feeding
22,45,Feeding
22,11,Feeding
22,16,Feeding
22,10,Feeding
22,19,Feeding
22,286,Feeding
22,70,Feeding
22,8,Feeding
22,20,Feeding
22,25,Feeding
22,7,Feeding
22,14,Feeding
22,81,Feeding
22,71,Feeding
22,39,Feeding
22,79,Feeding
22,56,Feeding
22,52,Feeding
57,9,Feeding
57,64,Feeding
57,131,Feeding
57,28,Feeding
57,23,Feeding
57,17,Feeding
57,33,Feeding
57,18,Feeding
57,40,Feeding
57,101,Feeding
57,45,Feeding
57,11,Feeding
57,16,Feeding
57,10,Feeding
57,19,Feeding
57,286,Feeding
57,70,Feeding
57,8,Feeding
57,20,Feeding
57,25,Feeding
57,7,Feeding
57,14,Feeding
57,81,Feeding
57,71,Feeding
57,39,Feeding
57,79,Feeding
