SpeciesID,sci-name,common_name,WebID,NodeType,,,
1,Phytoplankton,PhytoPlankton,PRV,species,,,
2,Zooplankton,Zooplankton,PRV,species,,,
3,Polychaeta,NA,PRV,species,,,
4,Oligochaeta,NA,PRV,species,,,
5,Ulva lactuca,Green Seaweed,PRV,species,,,
6,Nematoda,NA,PRV,species,,,
7,Gammaridae,NA,PRV,species,,,
8,Tanaidacea,NA,PRV,species,,,
9,Insecta,NA,PRV,species,,,
10,Omalogyra atomus,NA,PRV,species,,,
11,Gibbula umbilicalis,NA,PRV,species,,,
12,Lithophyllum,NA,PRV,species,,,
13,Copepoda,NA,PRV,species,,,
14,Stenothoidae,NA,PRV,species,,,
15,Mytilus galloprovincialis,NA,PRV,species,,,
16,Rissoidae,Minute Sea snails,PRV,species,,,
17,Lipophrys pholis,Shanny,PRV,species,,,
18,Acanthochitona crinita,Petit chiton,PRV,species,,,
19,Barleeia,Rissoid Snails,PRV,species,,,
20,Sphaeromatidae,NA,PRV,species,,,
21,Ellisolandia elongata,NA,PRV,species,,,
22,Colpomenia peregrina,NA,PRV,species,,,
23,Paracentrotus lividus,Purple Sea Urchin,PRV,species,,,
24,Sphacelaria cirrosa,Red Seaweed,PRV,species,,,
25,Ampithoidae,NA,PRV,species,,,
26,Anemonia sulcata,Mediterranean snakelocks anemone,PRV,species,,,
27,Musculus costulatus,NA,PRV,species,,,
28,Ophiuroidea,Brittle stars,PRV,species,,,
33,Gobius paganellus,Rock goby,PRV,species,,,
37,Palaemon elegans,rock shrimp,PRV,species,,,
38,Asparagopsis armata,Red Seaweed,PRV,species,,,
39,Palaemon longirostris,NA,PRV,species,,,
40,Lepidochitona cinerea,NA,PRV,species,,,
41,Nassariidae,NA,PRV,species,,,
44,Codium,NA,PRV,species,,,
45,Patella ulyssiponensis,True limpets,PRV,species,,,
48,Cystoseira,NA,PRV,species,,,
49,Nucella,NA,PRV,species,,,
52,Carcinus maenas,Shore Crab,PRV,species,,,
53,Turridae,NA,PRV,species,,,
54,Nemertea,NA,PRV,species,,,
56,Pirimela denticulata,Thumbnail crab,PRV,species,,,
57,Bifurcaria bifurcata,Stackhouse,PRV,species,,,
61,Cardiidae,cockle,PRV,species,,,
62,Actinia equina,Beadlet anemone,PRV,species,,,
64,Pantopoda,Sea spider,PRV,species,,,
70,Aplysia punctata,Common sea hare,PRV,species,,,
71,Caprella,skeleton shrimps,PRV,species,,,
72,Solecurtus strigilatus,NA,PRV,species,,,
74,Tricolia pullus,NA,PRV,species,,,
79,Lophozozymus incisus,NA,PRV,species,,,
80,Aulactinia verrucosa,Brooding sea anemone,PRV,species,,,
81,Calliopiidae,Painted top shell,PRV,species,,,
93,Ceramium ciliatum,NA,PRV,species,,,
100,Liza ramada,NA,PRV,species,,,
101,Leptochiton algesirensis,NA,PRV,species,,,
102,Leathesia marina,sea potato,PRV,species,,,
103,Lipophrys trigloides,NA,PRV,species,,,
107,Turtonia minuta,NA,PRV,species,,,
110,Cumacea,NA,PRV,species,,,
122,Saccorhiza polyschides,Furbellow,PRV,species,,,
131,Asterina gibbosa,Cushion Star,PRV,species,,,
132,Sagartia elegans,NA,PRV,species,,,
147,Turritellidae,NA,PRV,species,,,
148,Chthamalus,Barnacle,PRV,species,,,
149,Actinothoe sphyrodeta,Sandalled anemone,PRV,species,,,
150,Marthasterias glacialis,Spiny Starfish,PRV,species,,,
151,Turbellaria,NA,PRV,species,,,
152,Patella depressa,True limpets,PRV,species,,,
153,Lysianassidae,NA,PRV,species,,,
154,Eriphia verrucosa,yellow crab,PRV,species,,,
155,Angulus tenuis,Thin tellin,PRV,species,,,
156,Palaemon serratus,Common prawn,PRV,species,,,
177,Pachygrapsus marmoratus,marbled rock crab,PRV,species,,,
194,Porifera,NA,PRV,species,,,
195,Modiolula phaseolina,NA,PRV,species,,,
210,Atherina boyeri,Big-scale sand smelt,PRV,species,,,
211,Petricolinae,Venus clams,PRV,species,,,
214,Ceramium virgatum,NA,PRV,species,,,
242,Balanus,Barnacle,PRV,species,,,
243,Epitonium clathrus,common wentletrap,PRV,species,,,
245,Munnidae,NA,PRV,species,,,
247,Leucothoidae,NA,PRV,species,,,
262,Lepadogaster lepadogaster,shore clingfish,PRV,species,,,
281,Gelidium corneum,NA,PRV,species,,,
284,Laurencia pinnatifida,NA,PRV,species,,,
286,Littorina,NA,PRV,species,,,
287,Ocenebra erinaceus,European sting winkle,PRV,species,,,
311,Chrysallida pellucida,NA,PRV,species,,,
329,Melitidae,NA,PRV,species,,,
347,Hippolyte varians,NA,PRV,species,,,
348,Jaera,NA,PRV,species,,,
362,Hydrobia,NA,PRV,species,,,
504,Iphimediidae,NA,PRV,species,,,
505,Polinices,Snail,PRV,species,,,
506,Callianassidae,Ghost Shrimps,PRV,species,,,
507,Turbonilla,NA,PRV,species,,,
900,water filtration,,,service,,,
1000,commercial fishery,,,service,,,
1300,recreational fishery,,,service,,,
